ActionBar.LayoutParams,FILL_PARENT MATCH_PARENT WRAP_CONTENT
android.app.NotificationManager,IMPORTANCE_DEFAULT IMPORTANCE_HIGH IMPORTANCE_LOW IMPORTANCE_MAX IMPORTANCE_MIN IMPORTANCE_NONE IMPORTANCE_UNSPECIFIED
android.content.Intent,FLAG_ACTIVITY_BROUGHT_TO_FRONT FLAG_ACTIVITY_CLEAR_TASK FLAG_ACTIVITY_CLEAR_TOP FLAG_ACTIVITY_CLEAR_WHEN_TASK_RESET FLAG_ACTIVITY_EXCLUDE_FROM_RECENTS FLAG_ACTIVITY_FORWARD_RESULT FLAG_ACTIVITY_LAUNCHED_FROM_HISTORY FLAG_ACTIVITY_LAUNCH_ADJACENT FLAG_ACTIVITY_MATCH_EXTERNAL FLAG_ACTIVITY_MULTIPLE_TASK FLAG_ACTIVITY_NEW_DOCUMENT FLAG_ACTIVITY_NEW_TASK FLAG_ACTIVITY_NO_ANIMATION FLAG_ACTIVITY_NO_HISTORY FLAG_ACTIVITY_NO_USER_ACTION FLAG_ACTIVITY_PREVIOUS_IS_TOP FLAG_ACTIVITY_REORDER_TO_FRONT FLAG_ACTIVITY_RESET_TASK_IF_NEEDED FLAG_ACTIVITY_RETAIN_IN_RECENTS FLAG_ACTIVITY_SINGLE_TOP FLAG_ACTIVITY_TASK_ON_HOME
android.content.res.Configuration,ORIENTATION_LANDSCAPE ORIENTATION_PORTRAIT ORIENTATION_SQUARE ORIENTATION_UNDEFINED
android.graphics.Color,BLACK BLUE CYAN DKGRAY GRAY GREEN LTGRAY MAGENTA RED TRANSPARENT WHITE YELLOW
android.graphics.Paint,ANTI_ALIAS_FLAG DITHER_FLAG EMBEDDED_BITMAP_TEXT_FLAG FAKE_BOLD_TEXT_FLAG FILTER_BITMAP_FLAG LINEAR_TEXT_FLAG STRIKE_THRU_TEXT_FLAG SUBPIXEL_TEXT_FLAG UNDERLINE_TEXT_FLAG
android.graphics.Typeface,BOLD BOLD_ITALIC ITALIC NORMAL
android.support.v7.widget.LinearLayoutManager,HORIZONTAL VERTICAL
android.text.format.DateUtils,FORMAT_12HOUR FORMAT_24HOUR FORMAT_ABBREV_ALL FORMAT_ABBREV_MONTH FORMAT_ABBREV_RELATIVE FORMAT_ABBREV_TIME FORMAT_ABBREV_WEEKDAY FORMAT_CAP_AMPM FORMAT_CAP_MIDNIGHT FORMAT_CAP_NOON FORMAT_CAP_NOON_MIDNIGHT FORMAT_NO_MIDNIGHT FORMAT_NO_MONTH_DAY FORMAT_NO_NOON FORMAT_NO_NOON_MIDNIGHT FORMAT_NO_YEAR FORMAT_NUMERIC_DATE FORMAT_SHOW_DATE FORMAT_SHOW_TIME FORMAT_SHOW_WEEKDAY FORMAT_SHOW_YEAR FORMAT_UTC
android.text.InputType,TYPE_TEXT_FLAG_AUTO_COMPLETE TYPE_TEXT_FLAG_AUTO_CORRECT TYPE_TEXT_FLAG_CAP_CHARACTERS TYPE_TEXT_FLAG_CAP_SENTENCES TYPE_TEXT_FLAG_CAP_WORDS TYPE_TEXT_FLAG_IME_MULTI_LINE TYPE_TEXT_FLAG_MULTI_LINE TYPE_TEXT_FLAG_NO_SUGGESTIONS))
